Symbol1,Symbol2,TotalPnL,NumTrades,AvgPnLPerTrade,MaxDailyPnL
NEARUSDT,SHIBUSDT,17427.859719069857,39,446.8681979248681,4027.1107478761223
ADAUSDT,MATICUSDT,15646.396379550048,43,363.86968324534996,3619.329496000001
